"_id","_labels","tagline","title","released","born","name","_start","_end","_type","roles","summary","rating"
"67783",":Movie","Welcome to the Real World","The Matrix","1999","","",,,,,,
"67784",":Person","","","","1964","Keanu Reeves",,,,,,
"67785",":Person","","","","1967","Carrie-Anne Moss",,,,,,
"67786",":Person","","","","1961","Laurence Fishburne",,,,,,
"67787",":Person","","","","1960","Hugo Weaving",,,,,,
"67788",":Person","","","","1967","Lilly Wachowski",,,,,,
"67789",":Person","","","","1965","Lana Wachowski",,,,,,
"67790",":Person","","","","1952","Joel Silver",,,,,,
"67791",":Person","","","","1978","Emil Eifrem",,,,,,
"67792",":Movie","Free your mind","The Matrix Reloaded","2003","","",,,,,,
"67793",":Movie","Everything that has a beginning has an end","The Matrix Revolutions","2003","","",,,,,,
"67794",":Movie","Evil has its winning ways","The Devil's Advocate","1997","","",,,,,,
"88434",":Person","","","","1966","John Cusack",,,,,,
"88435",":Person","","","","1942","Marshall Bell",,,,,,
"88436",":Movie","A comedy from the heart that goes for the throat.","As Good as It Gets","1997","","",,,,,,
"88437",":Person","","","","1963","Helen Hunt",,,,,,
"88438",":Person","","","","1963","Greg Kinnear",,,,,,
"88439",":Person","","","","1940","James L. Brooks",,,,,,
"88440",":Movie","After life there is more. The end is just the beginning.","What Dreams May Come","1998","","",,,,,,
"88441",":Person","","","","1960","Annabella Sciorra",,,,,,
"88442",":Person","","","","1929","Max von Sydow",,,,,,
"88443",":Person","","","","1942","Werner Herzog",,,,,,
"88444",":Person","","","","1951","Robin Williams",,,,,,
"88445",":Person","","","","1956","Vincent Ward",,,,,,
"88446",":Movie","First loves last. Forever.","Snow Falling on Cedars","1999","","",,,,,,
"88447",":Person","","","","1970","Ethan Hawke",,,,,,
"88448",":Person","","","","1971","Rick Yune",,,,,,
"88449",":Person","","","","1940","James Cromwell",,,,,,
"88450",":Person","","","","1953","Scott Hicks",,,,,,
"110964",":Person","","","","1975","Charlize Theron",,,,,,
"110965",":Person","","","","1940","Al Pacino",,,,,,
"110966",":Person","","","","1944","Taylor Hackford",,,,,,
"110967",":Movie","In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.","A Few Good Men","1992","","",,,,,,
"110968",":Person","","","","1962","Tom Cruise",,,,,,
"110969",":Person","","","","1937","Jack Nicholson",,,,,,
"110970",":Person","","","","1962","Demi Moore",,,,,,
"110971",":Person","","","","1958","Kevin Bacon",,,,,,
"110972",":Person","","","","1966","Kiefer Sutherland",,,,,,
"110973",":Person","","","","1971","Noah Wyle",,,,,,
"110974",":Person","","","","1968","Cuba Gooding Jr.",,,,,,
"110975",":Person","","","","1957","Kevin Pollak",,,,,,
"110976",":Person","","","","1943","J.T. Walsh",,,,,,
"110977",":Person","","","","1967","James Marshall",,,,,,
"110978",":Person","","","","1948","Christopher Guest",,,,,,
"110979",":Person","","","","1947","Rob Reiner",,,,,,
"110980",":Person","","","","1961","Aaron Sorkin",,,,,,
"110981",":Movie","I feel the need, the need for speed.","Top Gun","1986","","",,,,,,
"110982",":Person","","","","1957","Kelly McGillis",,,,,,
"110983",":Person","","","","1959","Val Kilmer",,,,,,
"110984",":Person","","","","1962","Anthony Edwards",,,,,,
"110985",":Person","","","","1933","Tom Skerritt",,,,,,
"110986",":Person","","","","1961","Meg Ryan",,,,,,
"110987",":Person","","","","1944","Tony Scott",,,,,,
"110988",":Person","","","","1941","Jim Cash",,,,,,
"110989",":Movie","The rest of his life begins now.","Jerry Maguire","2000","","",,,,,,
"110990",":Person","","","","1969","Renee Zellweger",,,,,,
"110991",":Person","","","","1962","Kelly Preston",,,,,,
"110992",":Person","","","","1974","Jerry O'Connell",,,,,,
"110993",":Person","","","","1970","Jay Mohr",,,,,,
"110994",":Person","","","","1961","Bonnie Hunt",,,,,,
"110995",":Person","","","","1971","Regina King",,,,,,
"110996",":Person","","","","1996","Jonathan Lipnicki",,,,,,
"110997",":Person","","","","1957","Cameron Crowe",,,,,,
"110998",":Movie","For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.","Stand By Me","1986","","",,,,,,
"110999",":Person","","","","1970","River Phoenix",,,,,,
"111000",":Person","","","","1971","Corey Feldman",,,,,,
"111001",":Person","","","","1972","Wil Wheaton",,,,,,
"111009",":Movie","At odds in life... in love on-line.","You've Got Mail","1998","","",,,,,,
"111010",":Person","","","","1968","Parker Posey",,,,,,
"111011",":Person","","","","1973","Dave Chappelle",,,,,,
"111012",":Person","","","","1967","Steve Zahn",,,,,,
"111013",":Person","","","","1956","Tom Hanks",,,,,,
"111014",":Person","","","","1941","Nora Ephron",,,,,,
"111015",":Movie","What if someone you never met, someone you never saw, someone you never knew was the only someone for you?","Sleepless in Seattle","1993","","",,,,,,
"111016",":Person","","","","1956","Rita Wilson",,,,,,
"111017",":Person","","","","1953","Bill Pullman",,,,,,
"111018",":Person","","","","1949","Victor Garber",,,,,,
"111019",":Person","","","","1962","Rosie O'Donnell",,,,,,
"111020",":Movie","A story of love, lava and burning desire.","Joe Versus the Volcano","1990","","",,,,,,
"111021",":Person","","","","1950","John Patrick Stanley",,,,,,
"111022",":Person","","","","1956","Nathan Lane",,,,,,
"111023",":Movie","At odds in life... in love on-line.","When Harry Met Sally","1998","","",,,,,,
"111024",":Person","","","","1948","Billy Crystal",,,,,,
"111025",":Person","","","","1956","Carrie Fisher",,,,,,
"111026",":Person","","","","1949","Bruno Kirby",,,,,,
"111027",":Movie","In every life there comes a time when that thing you dream becomes that thing you do","That Thing You Do","1996","","",,,,,,
"111028",":Person","","","","1977","Liv Tyler",,,,,,
"111029",":Movie","Pain heals, Chicks dig scars... Glory lasts forever","The Replacements","2000","","",,,,,,
"111030",":Person","","","","1970","Brooke Langton",,,,,,
"111031",":Person","","","","1930","Gene Hackman",,,,,,
"111032",":Person","","","","1968","Orlando Jones",,,,,,
"111033",":Person","","","","1950","Howard Deutch",,,,,,
"111034",":Movie","Based on the extraordinary true story of one man's fight for freedom","RescueDawn","2006","","",,,,,,
"111035",":Person","","","","1974","Christian Bale",,,,,,
"111036",":Person","","","","1954","Zach Grenier",,,,,,
"111037",":Movie","Come as you are","The Birdcage","1996","","",,,,,,
"111038",":Person","","","","1931","Mike Nichols",,,,,,
"111039",":Movie","It's a hell of a thing, killing a man","Unforgiven","1992","","",,,,,,
"111040",":Person","","","","1930","Richard Harris",,,,,,
"111041",":Person","","","","1930","Clint Eastwood",,,,,,
"111042",":Movie","The hottest data on earth. In the coolest head in town","Johnny Mnemonic","1995","","",,,,,,
"111043",":Person","","","","1947","Takeshi Kitano",,,,,,
"111044",":Person","","","","1968","Dina Meyer",,,,,,
"111045",":Person","","","","1958","Ice-T",,,,,,
"111046",":Person","","","","1953","Robert Longo",,,,,,
"111047",":Movie","Everything is connected","Cloud Atlas","2012","","",,,,,,
"111048",":Person","","","","1966","Halle Berry",,,,,,
"111049",":Person","","","","1949","Jim Broadbent",,,,,,
"111050",":Person","","","","1965","Tom Tykwer",,,,,,
"111051",":Person","","","","1969","David Mitchell",,,,,,
"111052",":Person","","","","1961","Stefan Arndt",,,,,,
"111053",":Movie","Break The Codes","The Da Vinci Code","2006","","",,,,,,
"111054",":Person","","","","1939","Ian McKellen",,,,,,
"111055",":Person","","","","1976","Audrey Tautou",,,,,,
"111056",":Person","","","","1971","Paul Bettany",,,,,,
"111057",":Person","","","","1954","Ron Howard",,,,,,
"111058",":Movie","Freedom! Forever!","V for Vendetta","2006","","",,,,,,
"111059",":Person","","","","1981","Natalie Portman",,,,,,
"111060",":Person","","","","1946","Stephen Rea",,,,,,
"111061",":Person","","","","1940","John Hurt",,,,,,
"111062",":Person","","","","1967","Ben Miles",,,,,,
"111063",":Movie","Speed has no limits","Speed Racer","2008","","",,,,,,
"111064",":Person","","","","1985","Emile Hirsch",,,,,,
"111065",":Person","","","","1960","John Goodman",,,,,,
"111066",":Person","","","","1946","Susan Sarandon",,,,,,
